DATE,RATE
2016-12-31,1.3886
2016-12-30,1.385629
2016-12-29,1.387659
2016-12-28,1.393879
2016-12-27,1.391288
2016-12-26,1.390117
2016-12-25,1.3943
2016-12-24,1.393728
2016-12-23,1.394655
2016-12-22,1.387497
2016-12-21,1.379572
2016-12-20,1.378648
2016-12-19,1.377904
2016-12-18,1.3691
2016-12-17,1.369106
2016-12-16,1.370525
2016-12-15,1.359438
2016-12-14,1.331038
2016-12-13,1.334088
2016-12-12,1.333575
2016-12-11,1.34195
2016-12-10,1.34195
2016-12-09,1.344175
2016-12-08,1.334013
2016-12-07,1.338038
2016-12-06,1.341963
2016-12-05,1.335975
2016-12-04,1.3403
2016-12-03,1.3403
2016-12-02,1.341888
2016-12-01,1.350925
2016-11-30,1.352925
2016-11-29,1.337925
2016-11-28,1.338275
2016-11-27,1.343338
2016-11-26,1.343338
2016-11-25,1.346013
2016-11-24,1.3502
2016-11-23,1.353363
2016-11-22,1.352375
2016-11-21,1.358538
2016-11-20,1.362375
2016-11-19,1.362375
2016-11-18,1.36205
2016-11-17,1.344338
2016-11-16,1.334888
2016-11-15,1.325288
2016-11-14,1.32645
2016-11-13,1.324675
2016-11-12,1.324675
2016-11-11,1.323025
2016-11-10,1.3136
2016-11-09,1.308038
2016-11-08,1.291988
2016-11-07,1.298613
2016-11-06,1.303013
2016-11-05,1.303013
2016-11-04,1.302238
2016-11-03,1.302113
2016-11-02,1.303588
2016-11-01,1.307675
2016-10-31,1.314313
2016-10-30,1.315925
2016-10-29,1.315925
2016-10-28,1.31785
2016-10-27,1.316725
2016-10-26,1.301513
2016-10-25,1.307275
2016-10-24,1.315775
2016-10-23,1.314125
2016-10-22,1.314125
2016-10-21,1.316075
2016-10-20,1.3099
2016-10-19,1.29525
2016-10-18,1.303
2016-10-17,1.3116
2016-10-16,1.312538
2016-10-15,1.312538
2016-10-14,1.3125
2016-10-13,1.322363
2016-10-12,1.321913
2016-10-11,1.325525
2016-10-10,1.313913
2016-10-09,1.317775
2016-10-08,1.3128
2016-10-07,1.321938
2016-10-06,1.316088
2016-10-05,1.311688
2016-10-04,1.31205
2016-10-03,1.304413
2016-10-02,1.305225
2016-10-01,1.305225
2016-09-30,1.3044
2016-09-29,1.30265
2016-09-28,1.305363
2016-09-27,1.30485
2016-09-26,1.308838
2016-09-25,1.3111
2016-09-24,1.3111
2016-09-23,1.311588
2016-09-22,1.308425
2016-09-21,1.318375
2016-09-20,1.325188
2016-09-19,1.324075
2016-09-18,1.334775
2016-09-17,1.334775
2016-09-16,1.335213
2016-09-15,1.333138
2016-09-14,1.336863
2016-09-13,1.3416
2016-09-12,1.327525
2016-09-11,1.325725
2016-09-10,1.325725
2016-09-09,1.324138
2016-09-08,1.306613
2016-09-07,1.303813
2016-09-06,1.302675
2016-09-05,1.31755
2016-09-04,1.320113
2016-09-03,1.320113
2016-09-02,1.322388
2016-09-01,1.32455
2016-08-31,1.329688
2016-08-30,1.3307
2016-08-29,1.321213
2016-08-28,1.322
2016-08-27,1.322
2016-08-26,1.31675
2016-08-25,1.313725
2016-08-24,1.313838
2016-08-23,1.31
2016-08-22,1.310788
2016-08-21,1.31145
2016-08-20,1.31145
2016-08-19,1.312888
2016-08-18,1.301725
2016-08-17,1.311475
2016-08-16,1.299825
2016-08-15,1.301463
2016-08-14,1.306738
2016-08-13,1.306738
2016-08-12,1.306013
2016-08-11,1.2972
2016-08-10,1.295513
2016-08-09,1.303725
2016-08-08,1.305875
2016-08-07,1.312138
2016-08-06,1.312138
2016-08-05,1.313363
2016-08-04,1.313513
2016-08-03,1.316833
2016-08-02,1.329513
2016-08-01,1.321963
2016-07-31,1.315575
2016-07-30,1.315575
2016-07-29,1.3176
2016-07-28,1.3322
2016-07-27,1.339925
2016-07-26,1.330975
2016-07-25,1.3393
2016-07-24,1.339075
2016-07-23,1.339075
2016-07-22,1.341063
2016-07-21,1.33455
2016-07-20,1.33285
2016-07-19,1.333513
2016-07-18,1.317713
2016-07-17,1.319688
2016-07-16,1.319688
2016-07-15,1.317838
2016-07-14,1.308738
2016-07-13,1.314225
2016-07-12,1.307038
2016-07-11,1.327788
2016-07-10,1.320725
2016-07-09,1.320725
2016-07-08,1.322413
2016-07-07,1.336025
2016-07-06,1.331988
2016-07-05,1.339463
2016-07-04,1.325963
2016-07-03,1.333463
2016-07-02,1.333463
2016-07-01,1.336188
2016-06-30,1.34475
2016-06-29,1.346164
2016-06-28,1.358358
2016-06-27,1.360608
2016-06-26,1.338256
2016-06-25,1.338256
2016-06-24,1.341054
2016-06-23,1.317714
2016-06-22,1.331769
2016-06-21,1.338175
2016-06-20,1.340476
2016-06-19,1.352352
2016-06-18,1.352352
2016-06-17,1.353326
2016-06-16,1.361302
2016-06-15,1.351719
2016-06-14,1.358555
2016-06-13,1.351536
2016-06-12,1.356177
2016-06-11,1.356177
2016-06-10,1.353766
2016-06-09,1.346183
2016-06-08,1.337287
2016-06-07,1.342998
2016-06-06,1.357973
2016-06-05,1.35751
2016-06-04,1.35751
2016-06-03,1.362708
2016-06-02,1.383816
2016-06-01,1.380206
2016-05-31,1.380747
2016-05-30,1.391987
2016-05-29,1.392147
2016-05-28,1.392147
2016-05-27,1.38912
2016-05-26,1.386063
2016-05-25,1.391355
2016-05-24,1.393001
2016-05-23,1.386548
2016-05-22,1.384793
2016-05-21,1.384793
2016-05-20,1.385116
2016-05-19,1.385349
2016-05-18,1.373337
2016-05-17,1.36505
2016-05-16,1.372015
2016-05-15,1.375757
2016-05-14,1.375757
2016-05-13,1.374981
2016-05-12,1.366399
2016-05-11,1.353599
2016-05-10,1.360726
2016-05-09,1.366287
2016-05-08,1.357407
2016-05-07,1.357407
2016-05-06,1.357947
2016-05-05,1.338977
2016-05-04,1.340698
2016-05-03,1.334028
2016-05-02,1.307424
2016-05-01,1.314714
2016-04-30,1.314714
2016-04-29,1.314735
2016-04-28,1.309685
2016-04-27,1.31719
2016-04-26,1.29259
2016-04-25,1.296323
2016-04-24,1.296966
2016-04-23,1.296966
2016-04-22,1.298256
2016-04-21,1.288804
2016-04-20,1.27977
2016-04-19,1.280072
2016-04-18,1.29
2016-04-17,1.294588
2016-04-16,1.294588
2016-04-15,1.294829
2016-04-14,1.297733
2016-04-13,1.306852
2016-04-12,1.305064
2016-04-11,1.314554
2016-04-10,1.324046
2016-04-09,1.324046
2016-04-08,1.323275
2016-04-07,1.332614
2016-04-06,1.315849
2016-04-05,1.329148
2016-04-04,1.312352
2016-04-03,1.30258
2016-04-02,1.30258
2016-04-01,1.303097
2016-03-31,1.306067
2016-03-30,1.304908
2016-03-29,1.315319
2016-03-28,1.325834
2016-03-27,1.331786
2016-03-26,1.331786
2016-03-25,1.331909
2016-03-24,1.32879
2016-03-23,1.313469
2016-03-22,1.31313
2016-03-21,1.318506
2016-03-20,1.314866
2016-03-19,1.314866
2016-03-18,1.314143
2016-03-17,1.307684
2016-03-16,1.344329
2016-03-15,1.341227
2016-03-14,1.33336
2016-03-13,1.32204
2016-03-12,1.32204
2016-03-11,1.322469
2016-03-10,1.344409
2016-03-09,1.330096
2016-03-08,1.340764
2016-03-07,1.336985
2016-03-06,1.344134
2016-03-05,1.344134
2016-03-04,1.346209
2016-03-03,1.358847
2016-03-02,1.375907
2016-03-01,1.39543
2016-02-29,1.398552
2016-02-28,1.403263
2016-02-27,1.403263
2016-02-26,1.403359
2016-02-25,1.387942
2016-02-24,1.393421
2016-02-23,1.387227
2016-02-22,1.380759
2016-02-21,1.39875
2016-02-20,1.39875
2016-02-19,1.403329
2016-02-18,1.401175
2016-02-17,1.394008
2016-02-16,1.408123
2016-02-15,1.399872
2016-02-14,1.407001
2016-02-13,1.407001
2016-02-12,1.407719
2016-02-11,1.409469
2016-02-10,1.409557
2016-02-09,1.412468
2016-02-08,1.408364
2016-02-07,1.414983
2016-02-06,1.41513
2016-02-05,1.412582
2016-02-04,1.38597
2016-02-03,1.39951
2016-02-02,1.416638
2016-02-01,1.412792
2016-01-31,1.411543
2016-01-30,1.411543
2016-01-29,1.41242
2016-01-28,1.4098
2016-01-27,1.415042
2016-01-26,1.425342
2016-01-25,1.433437
2016-01-24,1.428005
2016-01-23,1.428005
2016-01-22,1.42759
2016-01-21,1.430271
2016-01-20,1.458207
2016-01-19,1.443827
2016-01-18,1.456678
2016-01-17,1.457546
2016-01-16,1.457546
2016-01-15,1.459837
2016-01-14,1.432424
2016-01-13,1.430221
2016-01-12,1.43287
2016-01-11,1.43284
2016-01-10,1.438306
2016-01-09,1.438306
2016-01-08,1.43058
2016-01-07,1.423543
2016-01-06,1.416933
2016-01-05,1.399337
2016-01-04,1.394137
2016-01-03,1.370545
2016-01-02,1.370545
2016-01-01,1.372632
2015-12-31,1.372606
2015-12-30,1.371572
2015-12-29,1.376331
2015-12-28,1.3761
2015-12-27,1.373795
2015-12-26,1.373795
2015-12-25,1.375339
2015-12-24,1.37607
2015-12-23,1.385036
2015-12-22,1.382483
2015-12-21,1.394332
2015-12-20,1.39374
2015-12-19,1.39374
2015-12-18,1.392429
2015-12-17,1.406271
2015-12-16,1.387224
2015-12-15,1.39192
2015-12-14,1.377616
2015-12-13,1.391366
2015-12-12,1.391366
2015-12-11,1.379597
2015-12-10,1.370752
2015-12-09,1.388401
2015-12-08,1.385947
2015-12-07,1.375988
2015-12-06,1.36256
2015-12-05,1.36256
2015-12-04,1.362661
2015-12-03,1.363587
2015-12-02,1.368969
2015-12-01,1.366652
2015-11-30,1.382438
2015-11-29,1.390144
2015-11-28,1.390144
2015-11-27,1.390909
2015-11-26,1.382754
2015-11-25,1.378913
2015-11-24,1.381194
2015-11-23,1.38964
2015-11-22,1.381793
2015-11-21,1.381793
2015-11-20,1.38216
2015-11-19,1.389199
2015-11-18,1.4122
2015-11-17,1.404321
2015-11-16,1.411059
2015-11-15,1.402924
2015-11-14,1.402924
2015-11-13,1.404296
2015-11-12,1.405411
2015-11-11,1.417862
2015-11-10,1.422301
2015-11-09,1.419742
2015-11-08,1.418963
2015-11-07,1.418963
2015-11-06,1.42228
2015-11-05,1.399365
2015-11-04,1.398455
2015-11-03,1.391247
2015-11-02,1.400951
2015-11-01,1.401074
2015-10-31,1.401074
2015-10-30,1.399861
2015-10-29,1.413117
2015-10-28,1.398408
2015-10-27,1.389272
2015-10-26,1.378649
2015-10-25,1.385259
2015-10-24,1.385259
2015-10-23,1.385547
2015-10-22,1.386237
2015-10-21,1.376862
2015-10-20,1.379513
2015-10-19,1.37681
2015-10-18,1.376264
2015-10-17,1.376264
2015-10-16,1.364554
2015-10-15,1.369286
2015-10-14,1.385793
2015-10-13,1.359099
2015-10-12,1.36666
2015-10-11,1.363439
2015-10-10,1.363439
2015-10-09,1.378608
2015-10-08,1.38783
2015-10-07,1.396298
2015-10-06,1.41165
2015-10-05,1.417665
2015-10-04,1.417719
2015-10-03,1.417719
2015-10-02,1.421315
2015-10-01,1.427934
2015-09-30,1.43
2015-09-29,1.432915
2015-09-28,1.425583
2015-09-27,1.42296
2015-09-26,1.42296
2015-09-25,1.426413
2015-09-24,1.428674
2015-09-23,1.413204
2015-09-22,1.402068
2015-09-21,1.39012
2015-09-20,1.390495
2015-09-19,1.39047
2015-09-18,1.39415
2015-09-17,1.390362
2015-09-16,1.402044
2015-09-15,1.401412
2015-09-14,1.411198
2015-09-13,1.410095
2015-09-12,1.410095
2015-09-11,1.413112
2015-09-10,1.432482
2015-09-09,1.422544
2015-09-08,1.442188
2015-09-07,1.444498
2015-09-06,1.447084
2015-09-05,1.447084
2015-09-04,1.425061
2015-09-03,1.41836
2015-09-02,1.424313
2015-09-01,1.405895
2015-08-31,1.400762
2015-08-30,1.394111
2015-08-29,1.394111
2015-08-28,1.394027
2015-08-27,1.403768
2015-08-26,1.401272
2015-08-25,1.399486
2015-08-24,1.372135
2015-08-23,1.365676
2015-08-22,1.365676
2015-08-21,1.363146
2015-08-20,1.360823
2015-08-19,1.363229
2015-08-18,1.356032
2015-08-17,1.355794
2015-08-16,1.355181
2015-08-15,1.355181
2015-08-14,1.357692
2015-08-13,1.354618
2015-08-12,1.368308
2015-08-11,1.349285
2015-08-10,1.34929
2015-08-09,1.34787
2015-08-08,1.34787
2015-08-07,1.361571
2015-08-06,1.360156
2015-08-05,1.355396
2015-08-04,1.374596
2015-08-03,1.367938
2015-08-02,1.368899
2015-08-01,1.368874
2015-07-31,1.371625
2015-07-30,1.370185
2015-07-29,1.361727
2015-07-28,1.375089
2015-07-27,1.374427
2015-07-26,1.372978
2015-07-25,1.372978
2015-07-24,1.359202
2015-07-23,1.352731
2015-07-22,1.347032
2015-07-21,1.356192
2015-07-20,1.355474
2015-07-19,1.35605
2015-07-18,1.35605
2015-07-17,1.349321
2015-07-16,1.35479
2015-07-15,1.341891
2015-07-14,1.351294
2015-07-13,1.34594
2015-07-12,1.34307
2015-07-11,1.34307
2015-07-10,1.341148
2015-07-09,1.346145
2015-07-08,1.34284
2015-07-07,1.333958
2015-07-06,1.335517
2015-07-05,1.330029
2015-07-04,1.330029
2015-07-03,1.3097
2015-07-02,1.308343
2015-07-01,1.298826
2015-06-30,1.302896
2015-06-29,1.312275
2015-06-28,1.306196
2015-06-27,1.306196
2015-06-26,1.292581
2015-06-25,1.298104
2015-06-24,1.292325
2015-06-23,1.293797
2015-06-22,1.287471
2015-06-21,1.286724
2015-06-20,1.286724
2015-06-19,1.281314
2015-06-18,1.292547
2015-06-17,1.289979
2015-06-16,1.288357
2015-06-15,1.292976
2015-06-14,1.29342
2015-06-13,1.29342
2015-06-12,1.290187
2015-06-11,1.292166
2015-06-10,1.300536
2015-06-09,1.300341
2015-06-08,1.311809
2015-06-07,1.311352
2015-06-06,1.311352
2015-06-05,1.302589
2015-06-04,1.286255
2015-06-03,1.287171
2015-06-02,1.313903
2015-06-01,1.308924
2015-05-31,1.30818
2015-05-30,1.30818
2015-05-29,1.30604
2015-05-28,1.293587
2015-05-27,1.29183
2015-05-26,1.27752
2015-05-25,1.278139
2015-05-24,1.277106
2015-05-23,1.277106
2015-05-22,1.266647
2015-05-21,1.270247
2015-05-20,1.263027
2015-05-19,1.2515
2015-05-18,1.244336
2015-05-17,1.244519
2015-05-16,1.244519
2015-05-15,1.237605
2015-05-14,1.232341
2015-05-13,1.253073
2015-05-12,1.267381
2015-05-11,1.262351
2015-05-10,1.259799
2015-05-09,1.259799
2015-05-08,1.264395
2015-05-07,1.254428
2015-05-06,1.260714
2015-05-05,1.275635
2015-05-04,1.276596
2015-05-03,1.273612
2015-05-02,1.273612
2015-05-01,1.265485
2015-04-30,1.250365
2015-04-29,1.246881
2015-04-28,1.273808
2015-04-27,1.277828
2015-04-26,1.277859
2015-04-25,1.278384
2015-04-24,1.285541
2015-04-23,1.290951
2015-04-22,1.295617
2015-04-21,1.294579
2015-04-20,1.28153
2015-04-19,1.28479
2015-04-18,1.284515
2015-04-17,1.312415
2015-04-16,1.302522
2015-04-15,1.312415
2015-04-14,1.312415
2015-04-13,1.303011
2015-04-12,1.301642
2015-04-11,1.301642
2015-04-10,1.299123
2015-04-09,1.300597
2015-04-08,1.308451
2015-04-07,1.315779
2015-04-06,1.310783
2015-04-05,1.309922
2015-04-04,1.309922
2015-04-03,1.318223
2015-04-02,1.315248
2015-04-01,1.312845
2015-03-31,1.306131
2015-03-30,1.292224
2015-03-29,1.290149
2015-03-28,1.290149
2015-03-27,1.290149
2015-03-26,1.277825
2015-03-25,1.275604
2015-03-24,1.270482
2015-03-23,1.266988
2015-03-22,1.283433
2015-03-21,1.286583
2015-03-20,1.286108
2015-03-19,1.307198
2015-03-18,1.290276
2015-03-17,1.311809
2015-03-16,1.308262
2015-03-15,1.311472
2015-03-14,1.309401
2015-03-13,1.309401
2015-03-12,1.298147
2015-03-11,1.316249
2015-03-10,1.310478
2015-03-09,1.298784
2015-03-08,1.297089
2015-03-07,1.2958
2015-03-06,1.2958
2015-03-05,1.285199
2015-03-04,1.278847
2015-03-03,1.279601
2015-03-02,1.288366
2015-03-01,1.28126
2015-02-28,1.280369
2015-02-27,1.280498
2015-02-26,1.282213
2015-02-25,1.268273
2015-02-24,1.277606
2015-02-23,1.28183
2015-02-22,1.27521
2015-02-21,1.274955
2015-02-20,1.274833
2015-02-19,1.283194
2015-02-18,1.27981
2015-02-17,1.279406
2015-02-16,1.287337
2015-02-15,1.287225
2015-02-14,1.287771
2015-02-13,1.287771
2015-02-12,1.293485
2015-02-11,1.294514
2015-02-10,1.286886
2015-02-09,1.282667
2015-02-08,1.287537
2015-02-07,1.282644
2015-02-06,1.282644
2015-02-05,1.281665
2015-02-04,1.289313
2015-02-03,1.285691
2015-02-02,1.282692
2015-02-01,1.2872
2015-01-31,1.287417
2015-01-30,1.287467
2015-01-29,1.287437
2015-01-28,1.26681
2015-01-27,1.260833
2015-01-26,1.262525
2015-01-25,1.269415
2015-01-24,1.264078
2015-01-23,1.264078
2015-01-22,1.247504
2015-01-21,1.234823
2015-01-20,1.224607
2015-01-19,1.218908
2015-01-18,1.215289
2015-01-17,1.215317
2015-01-16,1.215476
2015-01-15,1.220159
2015-01-14,1.226384
2015-01-13,1.224683
2015-01-12,1.22612
2015-01-11,1.216915
2015-01-10,1.219055
2015-01-09,1.21894
2015-01-08,1.232187
2015-01-07,1.238158
2015-01-06,1.238168
2015-01-05,1.236622
2015-01-04,1.236932
2015-01-03,1.236018
2015-01-02,1.228102
2015-01-01,1.227915
2014-12-31,1.223993
2014-12-30,1.222463
2014-12-29,1.229002
2014-12-28,1.231646
2014-12-27,1.2311
2014-12-26,1.2311
2014-12-25,1.231765
2014-12-24,1.232964
2014-12-23,1.233916
2014-12-22,1.230423
2014-12-21,1.228582
2014-12-20,1.228055
2014-12-19,1.22804
2014-12-18,1.224534
