DATE,RATE
2016-12-31,1.0194
2016-12-30,1.017292
2016-12-29,1.024108
2016-12-28,1.031072
2016-12-27,1.028369
2016-12-26,1.024905
2016-12-25,1.02755
2016-12-24,1.02725
2016-12-23,1.027118
2016-12-22,1.025022
2016-12-21,1.025409
2016-12-20,1.028133
2016-12-19,1.023222
2016-12-18,1.02655
2016-12-17,1.02655
2016-12-16,1.025647
2016-12-15,1.027583
2016-12-14,1.010611
2016-12-13,1.0134
2016-12-12,1.014019
2016-12-11,1.017077
2016-12-10,1.017139
2016-12-09,1.016889
2016-12-08,1.0068
2016-12-07,1.007576
2016-12-06,1.010918
2016-12-05,1.008612
2016-12-04,1.010647
2016-12-03,1.010639
2016-12-02,1.010943
2016-12-01,1.013427
2016-11-30,1.017275
2016-11-29,1.012753
2016-11-28,1.014934
2016-11-27,1.01394
2016-11-26,1.01407
2016-11-25,1.014485
2016-11-24,1.016145
2016-11-23,1.014702
2016-11-22,1.010164
2016-11-21,1.010448
2016-11-20,1.009977
2016-11-19,1.009721
2016-11-18,1.008941
2016-11-17,1.004692
2016-11-16,1.000745
2016-11-15,0.999873
2016-11-14,0.995288
2016-11-13,0.987744
2016-11-12,0.987464
2016-11-11,0.987074
2016-11-10,0.98556
2016-11-09,0.981335
2016-11-08,0.976179
2016-11-07,0.97416
2016-11-06,0.96803
2016-11-05,0.968943
2016-11-04,0.970552
2016-11-03,0.973778
2016-11-02,0.974481
2016-11-01,0.978221
2016-10-31,0.989451
2016-10-30,0.987913
2016-10-29,0.98887
2016-10-28,0.992661
2016-10-27,0.994289
2016-10-26,0.994887
2016-10-25,0.993798
2016-10-24,0.993303
2016-10-23,0.993533
2016-10-22,0.993713
2016-10-21,0.99393
2016-10-20,0.991322
2016-10-19,0.989296
2016-10-18,0.989129
2016-10-17,0.988744
2016-10-16,0.99014
2016-10-15,0.989694
2016-10-14,0.989349
2016-10-13,0.987589
2016-10-12,0.988145
2016-10-11,0.986812
2016-10-10,0.981616
2016-10-09,0.977442
2016-10-08,0.977378
2016-10-07,0.979762
2016-10-06,0.977632
2016-10-05,0.976176
2016-10-04,0.97808
2016-10-03,0.97323
2016-10-02,0.971414
2016-10-01,0.970933
2016-09-30,0.971025
2016-09-29,0.966659
2016-09-28,0.971584
2016-09-27,0.969546
2016-09-26,0.968676
2016-09-25,0.970322
2016-09-24,0.970299
2016-09-23,0.969964
2016-09-22,0.969705
2016-09-21,0.976765
2016-09-20,0.978895
2016-09-19,0.980122
2016-09-18,0.980474
2016-09-17,0.979221
2016-09-16,0.97824
2016-09-15,0.972868
2016-09-14,0.972151
2016-09-13,0.97506
2016-09-12,0.973113
2016-09-11,0.975477
2016-09-10,0.975113
2016-09-09,0.97565
2016-09-08,0.972424
2016-09-07,0.971724
2016-09-06,0.97317
2016-09-05,0.980045
2016-09-04,0.980531
2016-09-03,0.980119
2016-09-02,0.98107
2016-09-01,0.980055
2016-08-31,0.981792
2016-08-30,0.982022
2016-08-29,0.978503
2016-08-28,0.978169
2016-08-27,0.976129
2016-08-26,0.972033
2016-08-25,0.967688
2016-08-24,0.96593
2016-08-23,0.962456
2016-08-22,0.961484
2016-08-21,0.960376
2016-08-20,0.959795
2016-08-19,0.9602
