DATE,RATE
2016-12-31,0.95034
2016-12-30,0.948191
2016-12-29,0.954902
2016-12-28,0.963017
2016-12-27,0.956361
2016-12-26,0.9557
2016-12-25,0.95625
2016-12-24,0.95676
2016-12-23,0.957179
2016-12-22,0.957719
2016-12-21,0.958989
2016-12-20,0.961747
2016-12-19,0.957489
2016-12-18,0.956615
2016-12-17,0.956805
2016-12-16,0.9557
2016-12-15,0.96145
2016-12-14,0.938
2016-12-13,0.941
2016-12-12,0.9396
2016-12-11,0.94675
2016-12-10,0.94675
2016-12-09,0.9489
2016-12-08,0.92795
2016-12-07,0.93025
2016-12-06,0.9337
2016-12-05,0.9301
2016-12-04,0.9375
2016-12-03,0.9375
2016-12-02,0.93665
2016-12-01,0.9411
2016-11-30,0.9437
2016-11-29,0.94075
2016-11-28,0.945
2016-11-27,0.9439
2016-11-26,0.9439
2016-11-25,0.94375
2016-11-24,0.94715
2016-11-23,0.9467
2016-11-22,0.9412
2016-11-21,0.94265
2016-11-20,0.94435
2016-11-19,0.94435
2016-11-18,0.944
2016-11-17,0.93935
2016-11-16,0.9345
2016-11-15,0.9323
2016-11-14,0.93035
2016-11-13,0.92105
2016-11-12,0.92105
2016-11-11,0.92175
2016-11-10,0.9186
2016-11-09,0.91415
2016-11-08,0.90705
2016-11-07,0.9059
2016-11-06,0.89725
2016-11-05,0.89725
2016-11-04,0.8995
2016-11-03,0.9003
2016-11-02,0.90015
2016-11-01,0.9044
2016-10-31,0.912
2016-10-30,0.91005
2016-10-29,0.91005
2016-10-28,0.9136
2016-10-27,0.9181
2016-10-26,0.9183
2016-10-25,0.91825
2016-10-24,0.919
2016-10-23,0.9186
2016-10-22,0.9186
2016-10-21,0.91975
2016-10-20,0.9143
2016-10-19,0.9119
2016-10-18,0.90965
2016-10-17,0.90925
2016-10-16,0.91135
2016-10-15,0.91135
2016-10-14,0.90945
2016-10-13,0.90575
2016-10-12,0.9067
2016-10-11,0.904
2016-10-10,0.8968
2016-10-09,0.89265
2016-10-08,0.89342
2016-10-07,0.89615
2016-10-06,0.89295
2016-10-05,0.89235
2016-10-04,0.8934
2016-10-03,0.89155
2016-10-02,0.8897
2016-10-01,0.8897
2016-09-30,0.8902
2016-09-29,0.8898
2016-09-28,0.8923
2016-09-27,0.8892
2016-09-26,0.8883
2016-09-25,0.89055
2016-09-24,0.89055
2016-09-23,0.8904
2016-09-22,0.8907
2016-09-21,0.896
2016-09-20,0.8952
2016-09-19,0.8947
2016-09-18,0.89615
2016-09-17,0.89615
2016-09-16,0.896
2016-09-15,0.88935
2016-09-14,0.88795
2016-09-13,0.8902
2016-09-12,0.8895
2016-09-11,0.89035
2016-09-10,0.89035
2016-09-09,0.892
2016-09-08,0.88905
2016-09-07,0.8901
2016-09-06,0.8895
2016-09-05,0.89655
2016-09-04,0.8963
2016-09-03,0.8963
2016-09-02,0.8961
2016-09-01,0.89305
2016-08-31,0.89575
2016-08-30,0.897
2016-08-29,0.89465
2016-08-28,0.89295
2016-08-27,0.89295
2016-08-26,0.8903
2016-08-25,0.88655
2016-08-24,0.8879
2016-08-23,0.88405
2016-08-22,0.8834
2016-08-21,0.88275
2016-08-20,0.88275
2016-08-19,0.8835
2016-08-18,0.88225
2016-08-17,0.8874
2016-08-16,0.88725
2016-08-15,0.8937
2016-08-14,0.8958
2016-08-13,0.8958
2016-08-12,0.8953
2016-08-11,0.89615
2016-08-10,0.8951
2016-08-09,0.9006
2016-08-08,0.90255
2016-08-07,0.902
2016-08-06,0.902
2016-08-05,0.9019
2016-08-04,0.89705
2016-08-03,0.8918
2016-08-02,0.8945
2016-08-01,0.89505
2016-07-31,0.8949
2016-07-30,0.8949
2016-07-29,0.89595
2016-07-28,0.90275
2016-07-27,0.9098
2016-07-26,0.9101
2016-07-25,0.9099
2016-07-24,0.91085
2016-07-23,0.91085
2016-07-22,0.9118
2016-07-21,0.90815
2016-07-20,0.9077
2016-07-19,0.9078
2016-07-18,0.90325
2016-07-17,0.9061
2016-07-16,0.9061
2016-07-15,0.9037
2016-07-14,0.8994
2016-07-13,0.90385
2016-07-12,0.9019
2016-07-11,0.9048
2016-07-10,0.9047
2016-07-09,0.9047
2016-07-08,0.90505
2016-07-07,0.90365
2016-07-06,0.90165
2016-07-05,0.9015
2016-07-04,0.8971
2016-07-03,0.8978
2016-07-02,0.8978
2016-07-01,0.8975
2016-06-30,0.90015
2016-06-29,0.90062
2016-06-28,0.904568
2016-06-27,0.906892
2016-06-26,0.899972
2016-06-25,0.899972
2016-06-24,0.897489
2016-06-23,0.880912
2016-06-22,0.884148
2016-06-21,0.885828
2016-06-20,0.883894
2016-06-19,0.88682
2016-06-18,0.88682
2016-06-17,0.887306
2016-06-16,0.892402
2016-06-15,0.88973
2016-06-14,0.892201
2016-06-13,0.886209
2016-06-12,0.888707
2016-06-11,0.888707
2016-06-10,0.886552
2016-06-09,0.883613
2016-06-08,0.877001
2016-06-07,0.881254
2016-06-06,0.880006
2016-06-05,0.879809
2016-06-04,0.879809
2016-06-03,0.882059
2016-06-02,0.89641
2016-06-01,0.895228
2016-05-31,0.897342
2016-05-30,0.898255
2016-05-29,0.899673
2016-05-28,0.899673
2016-05-27,0.898154
2016-05-26,0.894847
2016-05-25,0.896429
2016-05-24,0.897221
2016-05-23,0.89243
2016-05-22,0.891074
2016-05-21,0.891074
2016-05-20,0.891921
2016-05-19,0.889704
2016-05-18,0.886031
2016-05-17,0.882725
2016-05-16,0.882985
2016-05-15,0.884398
2016-05-14,0.884398
2016-05-13,0.885644
2016-05-12,0.878954
2016-05-11,0.874607
2016-05-10,0.878632
2016-05-09,0.877307
2016-05-08,0.876814
2016-05-07,0.876814
2016-05-06,0.875251
2016-05-05,0.876737
2016-05-04,0.870183
2016-05-03,0.86825
2016-05-02,0.86834
2016-05-01,0.873433
2016-04-30,0.873433
2016-04-29,0.874231
2016-04-28,0.882259
2016-04-27,0.883213
2016-04-26,0.884727
2016-04-25,0.887465
2016-04-24,0.8909
2016-04-23,0.8909
2016-04-22,0.890773
2016-04-21,0.884585
2016-04-20,0.882636
2016-04-19,0.882482
2016-04-18,0.883398
2016-04-17,0.886245
2016-04-16,0.886245
2016-04-15,0.884949
2016-04-14,0.887625
2016-04-13,0.885838
2016-04-12,0.878532
2016-04-11,0.876141
2016-04-10,0.877197
2016-04-09,0.877197
2016-04-08,0.876636
2016-04-07,0.878718
2016-04-06,0.876
2016-04-05,0.877597
2016-04-04,0.877789
2016-04-03,0.877796
2016-04-02,0.877796
2016-04-01,0.877668
2016-03-31,0.883431
2016-03-30,0.883338
2016-03-29,0.889234
2016-03-28,0.892844
2016-03-27,0.895514
2016-03-26,0.895514
2016-03-25,0.895574
2016-03-24,0.894674
2016-03-23,0.892317
2016-03-22,0.891783
2016-03-21,0.889416
2016-03-20,0.887332
2016-03-19,0.887332
2016-03-18,0.887046
2016-03-17,0.883459
2016-03-16,0.902492
2016-03-15,0.900103
2016-03-14,0.901549
2016-03-13,0.89683
2016-03-12,0.89683
2016-03-11,0.896062
2016-03-10,0.894171
2016-03-09,0.906669
2016-03-08,0.907286
2016-03-07,0.907298
2016-03-06,0.908622
2016-03-05,0.908622
2016-03-04,0.909353
2016-03-03,0.913891
2016-03-02,0.921856
2016-03-01,0.921769
2016-02-29,0.919882
2016-02-28,0.914709
2016-02-27,0.914709
2016-02-26,0.915179
2016-02-25,0.906515
2016-02-24,0.907253
2016-02-23,0.907384
2016-02-22,0.90718
2016-02-21,0.898413
2016-02-20,0.898413
2016-02-19,0.898507
2016-02-18,0.904208
2016-02-17,0.897512
2016-02-16,0.897556
2016-02-15,0.89687
2016-02-14,0.888429
2016-02-13,0.888429
2016-02-12,0.889691
2016-02-11,0.881468
2016-02-10,0.890281
2016-02-09,0.883322
2016-02-08,0.895534
2016-02-07,0.891313
2016-02-06,0.896115
2016-02-05,0.897895
2016-02-04,0.893454
2016-02-03,0.903807
2016-02-02,0.916752
2016-02-01,0.917868
2016-01-31,0.923297
2016-01-30,0.923297
2016-01-29,0.923154
2016-01-28,0.913339
2016-01-27,0.920135
2016-01-26,0.922441
2016-01-25,0.923412
2016-01-24,0.926139
2016-01-23,0.926139
2016-01-22,0.924971
2016-01-21,0.9223
2016-01-20,0.915183
2016-01-19,0.915539
2016-01-18,0.918129
2016-01-17,0.916268
2016-01-16,0.916268
2016-01-15,0.911902
2016-01-14,0.9205
2016-01-13,0.921812
2016-01-12,0.922833
2016-01-11,0.918462
2016-01-10,0.915399
2016-01-09,0.915399
2016-01-08,0.919098
2016-01-07,0.920189
2016-01-06,0.929571
2016-01-05,0.93107
2016-01-04,0.924363
2016-01-03,0.920862
2016-01-02,0.920862
2016-01-01,0.920794
2015-12-31,0.920705
2015-12-30,0.914848
2015-12-29,0.911288
2015-12-28,0.911395
2015-12-27,0.911393
2015-12-26,0.911393
2015-12-25,0.912166
2015-12-24,0.91278
2015-12-23,0.919185
2015-12-22,0.911436
2015-12-21,0.916012
2015-12-20,0.920194
2015-12-19,0.920194
2015-12-18,0.922356
2015-12-17,0.925012
2015-12-16,0.914984
2015-12-15,0.915684
2015-12-14,0.907236
2015-12-13,0.909668
2015-12-12,0.918218
2015-12-11,0.914099
2015-12-10,0.913691
2015-12-09,0.909739
2015-12-08,0.918675
2015-12-07,0.921521
2015-12-06,0.919026
2015-12-05,0.919026
2015-12-04,0.919349
2015-12-03,0.91596
2015-12-02,0.945351
